"标题","类型","分类","标签","内容","变量","ID"
"[拼接字画]海报大标题","字体","艺术字","物体","海报大标题 {text_cn}，{object}拼成的字体，柔软，细腻，宏大的场景，高清分辨率，字体设计。","{text_cn}|{object}","8a0001"
"[柔体材质]线体艺术","字体","艺术字","材质","一组用{text_effect} 缠绕而成的中文字 {text_cn}，每个字都巧妙地弯曲和缠绕构成，字体飘逸秀丽，线条丝谱流畅，增强了立体感和视觉冲击力。整体风格简约而现代，光线均匀分布，营造出一种干净、清晰的氛围。文字的排布方式富有设计感，{text_effect} 的纹理和光泽在纯色背景的衬托下更加突出。","{text_cn}","8a0002"
"[山水字画]书法融合风景","字体","艺术字","物体","纯白背景，大面积留白，一个 {text_cn} 字，苍劲有力的毛笔书法风格，真实笔触质感，立体的{object} 完美结合字体笔划走势完全填满，3d 渲染，印章：山河。","{text_cn}|{object}","8a0003"
"搬砖艺术设计体红砖立体","字体","艺术字","材质","创意艺术字体设计，{text_cn} 二个字使红砖材质，字体表面覆盖质感的纹理，浅色背景，超高清 8K 画质展现立体结构的精密感，使用 C4D 和 OC 渲染器实现高细节与景深效果，俯视视觉。","{text_cn}","8a0004"
"比赛进行时立体体赛博合金","字体","艺术字","材质","超现实 3D 立体字 {text_cn} 设计，副标 与时俱进的创业者。居中正视图，对称构图，双层厚度，字体由抛光金银双色合金板层叠构成，深蓝能量带沿字母折角流动，每笔划嵌入立体矢量纹与发光光纤槽，带跨境电商元素，场景是在一个赛博朋克风格的城市上空，超广角视觉，透视感强，细节丰富，锋利折线光刃贯穿字母连接处，镜面金属表面反射蓝紫粒子光斑，碳黑磨砂背景凸显立体景深，字母边缘呈现金属液态凝固的熔融质感，硬核几何光影切割字面结构，微型全息战力参数板环绕字体旋转，纳米级机械蚀刻纹遍布字母表面，主题占画面的五分之一。","{text_cn}","8a0005"
"毕业艺术体金缀涂鸦","字体","艺术字","艺术字","创意字体海报设计，涂鸦风格海报，笔画起笔转折有力，线条流畅且富有艺术感，{text_cn} 艺术字体设计。白色字，金色质感点缀。矢量图形插画，字体抽象变形，创造出独特的节奏和动感，绿底白字。","{text_cn}","8a0006"
"不止明天创意体立体叠影","字体","艺术字","风格","字体标志 {text_cn}，创意字体设计，线条流畅且富有艺术感，将字体进行抽象变形，创造出独特的节奏和动感，立体，笔画之间有一定的遮盖关系，笔画之间有阴影，给人以强烈的视觉冲击，高级感，黑色背景。","{text_cn}","8a0007"
"朝日海鲜复古体篆章鲜虾","字体","艺术字","艺术字","创意字体设计 Logo：创意字体设计，篆书复古复刻文字 {text_cn}，古朴的仿篆书风格，文字排版艺术，结合复古图章、鲜虾、徽章排版形式，艺术构图，精致小巧的字符 鲜活海鲜，正宗味道""{text_cn} 在周围修饰，整体深红色，极致的清晰度，极简主义，简约，高级，杰作，大师作品，禅意。","{text_cn}","8a0008"
"陈氏立体艺术体金帆呈祥","字体","艺术字","风格","深黑色纹理背景，左上角金色立体汉字 {text_cn} ，金色帆船，船帆、船体细节精致 ，船下金色波浪造型 ，飞翔的白色鸽子 ，金色小字 一帆风顺 万事如意  ，金色圆形印章 ，大气，吉祥 。","{text_cn}","8a0009"
"抽象艺术体纹理流动","字体","艺术字","物体","字体设计 {text_cn}，由{object}构成，节奏排版，抽象艺术字体设计，字形笔画流动扭曲，动感，设计感，深色背景，超清，8K。","{text_cn}|{object}","8a0010"
"传统印章小篆体朱红古韵","字体","艺术字","艺术字","传统印章，{text_cn} 小篆字体，朱红色阴刻效果，对称构图，文字右起竖排方款，轻微雕刻刀痕纹理，纯白背景无杂质，简约中式美学风格。","{text_cn}","8a0011"
"创意标志体立体智创","字体","艺术字","风格","字体标志 {text_cn}，创意字体设计，线条流畅且富有艺术感，将字体进行抽象变形，创造出独特的节奏和动感，立体。","{text_cn}","8a0012"
"创意体彩缀热销","字体","艺术字","艺术字","创意字体设计 Logo：点缀笔划，色彩多样，穿插在字体笔画中可爱矢量，标志，黑色背景，线条流畅富有艺术感，中文{text_cn}设计灵感将字体进行抽象变形，创造出独特的节奏和动感，高级感，设计感，扁平化，大师出品。","{text_cn}","8a0013"
"创意艺术体立体律动","字体","艺术字","风格","字体标志 {text_cn}，创意字体设计，线条流畅且富有艺术感，将字体进行抽象变形，创造出独特的节奏和动感，立体，给人以强烈的视觉冲击，高级感，黑色背景。","{text_cn}","8a0014"
"创意字体科技体机甲电路","字体","艺术字","艺术字","文字 {text_cn}，标题设计，机甲科技感的风格设计，笔画带有机械棱角设计，融入电路纹理，营造出充满未来感，黑色纯背景。","{text_cn}","8a0015"
"创意综艺立体体鎏金国风","字体","艺术字","风格","立体艺术字 {text_cn}，笔画粗壮 pop 体，笔画为马克笔手绘质感，笔画中有漫画式的长短不一的镂空线条，厚重感强，活泼俏皮综艺感，整体现代感强，部分笔划被擦除的感觉，笔画表面以渐变的金色与靛蓝光带勾勒，模拟液态金属流动轨迹，小文字标注 文字创意设计 国风之粹 ""GUOFENG ZHIZUI，R6红色篆刻小印章点缀，海报构图，纯黑色背景，画面干净，国风禅意，画面四周大量留白构图，动态模糊，大师作品。","{text_cn}","8a0016"
"春风压花创意体桃花连韵","字体","艺术字","艺术字","创意字体设计 Logo：中文 {text_cn} 。线条流畅、舒展且具有艺术感，将字体进行抽象变形，似是而非，相邻两个字上一字的末笔是下一字的首笔，相邻字的笔划可以共享借代。使几个文字成为一个紧凑的整体，字与字之间有相互联系的笔划。高级感，扁平化，奇才设计，根据文字含义在纸上压花。深绿色背景。","{text_cn}","8a0017"
"春字立体艺术体花草缀春","字体","艺术字","中英文","创意字体设计。主体为一个由多彩美丽野花、绿草、藤蔓装饰而成的立体艺术汉字 {text_cn}，副标题是绿色流畅手写体英文 {text_en} 极简构图，大面积留白，高级审美，高清，32 K。","{text_cn}|{text_en}","8a0018"
"大碗菜徽章体卷草飘逸","字体","艺术字","艺术字","矢量插画，黑色背景，创意字体设计 Logo，卷草纹线条流畅且富有艺术感，中文 {text_cn} 略有倾斜，设计灵感：将字体进行抽象变形，四个字横着拍版，错落有致，创造出独特的节奏和动感，飘逸的艺术形式，复古徽章的感觉，给人以强烈的视觉冲击。高级感，扁平化，大师作品，。","{text_cn}","8a0019"
"戴字悬浮立体体琉璃珐琅","字体","艺术字","风格","3D 悬浮浮雕立体字，{text_cn} 字体琉璃质感，字体笔画融入珐琅工艺图腾和金色祥云图案，以冷色调金属质感包边。融入国风元素，营造文化氛围。背景为蓝紫色渐变，搭配隐约的国漫元素，整体简洁大气，兼具科技感与文化感，大师级设计，32k 分辨率。","{text_cn}","8a0020"
"刀剑如梦体狂草惊鸿","字体","艺术字","艺术字","狂草字体 {text_cn}，飘逸洒脱，飘若浮云，矫若惊龙，疏密有致，墨韵生动。蒙版效果，极致想象力，极致创意力，鬼才，背景极简，留白。","{text_cn}","8a0021"
"儿童节涂鸦体纸飞童趣","字体","艺术字","艺术字","字体标志 {text_cn}，创意字体设计增加纸飞机相关元素，中式涂鸦风格，卡哇伊艺术，日式字体，线条流畅，动感，活力，兴奋。 高级感，黑色背景。字体白色，。","{text_cn}","8a0022"
"发光标乳白题字","字体","艺术字","艺术字","画面背景是漆黑的，点缀着星星，如同夜晚的星空，透着科幻感。用圆幼字体呈现的 {text_cn}几个字，是白色的，周围环绕着蓝色的光边，亮堂堂的，像在发光，很有科技感。还有蓝色、如飘带般的线条，让画面更显灵动，整体科技感十足。","{text_cn}","8a0023"
"父亲节快乐创意体金辉连笔","字体","艺术字","中英文","创意字体设计 Logo：中文 {text_cn} 。线条流畅、舒展且具有艺术感，将字体进行抽象变形，似是而非，相邻两个字上一字的末笔是下一字的首笔，相邻字的笔划可以共享借代。使几个文字成为一个紧凑的整体，字与字之间有相互联系的笔划。高级感，扁平化，金色字，黑色背景，小英文 {text_en}。","{text_cn}|{text_en}","8a0024"
"贵人隶书创意体亚克力镂空","字体","艺术字","艺术字","亚克力镂空毛笔隶书字体 {text_cn}，凸出效果，飘若浮云，形成蒙版效果背景，由很多字体填充，比如甲骨文文字，小篆文字，隶书文字，楷体文字，行书文字，草书文字，书法文字旁边有朱砂印章，落款 非凡志远 极致想象力，极致创意力，背景极简。","{text_cn}","8a0025"
"好雨创意体墨绿点睛","字体","艺术字","艺术字","矢量插画，标志，黑色背景，白色字，创意字体设计，流畅且富有艺术感，中文 {text_cn}，绿色点缀。设计灵感：将字体进行抽象变形，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}","8a0026"
"黑底发光字","字体","艺术字","艺术字","创意字 {text_cn} 。线条流畅、舒展且具有艺术感，将字体进行抽象变形，似是而非，相邻两个字上一字的末笔是下一字的首笔，相邻字的笔划可以共享借代。使几个文字成为一个紧凑的整体，字与字之间有相互联系的笔划。字体颜色由乳白到深蓝渐变，周边发光效果，3D立体高级感，扁平化，黑色高端大气背景。","{text_cn}","8a0027"
"花朵相连艺术体绿缀白立体","字体","艺术字","风格","白色立体艺术字 {text_cn} 线条流畅，边缘带有绿色渐变高光效果，粗线体风格，可爱生动、笔画大圆弧弧形转折，白色背景，飘动的花朵和绿叶。字體筆畫首尾相連。","{text_cn}","8a0028"
"花前月下美术体粉韵浪漫","字体","艺术字","中英文","创意字体设计 Logo：中文{text_cn}，英文{text_en}，中英文穿插，美术字体设计，笔画形态夸张多变，极富创意的秀丽笔风格，结构中加入爱心、两只蝴蝶和弧线结构，细节曲线增强装饰，体现时尚与柔美气质，起承转合，运笔流畅，线条婉转自由，浪漫主题，前卫时尚，活泼可爱，矢量，纯黑底粉字。","{text_cn}|{text_en}","8a0029"
"极简标志体果茶雕刻","字体","艺术字","中英文","创意字体设计 Logo：奶茶与水果的融合，写着中文 """"{text_cn}"""" ,英文 {text_en}，极简，图型设计，雕刻效果，白色背景，国际化，高级感，设计感。","{text_cn}|{text_en}","8a0030"
"即刻出发双语体彩变涂鸦","字体","艺术字","中英文","涂鸦字体设计风格，黑色背景，彩色渐变字，创意字体设计 Logo，流畅且富有艺术感，中文第一行 {text_cn}，英文第二行 {text_en}，笔画之间合理相连，彩色点缀。设计灵感：将字体进行抽象变形，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}|{text_en}","8a0031"
"技术创新书法体奔放墨韵","字体","艺术字","书法","矢量插画，标志，黑色背景，创意字体设计 Logo，手写毛笔书法，线条流畅奔放且富有艺术感，中文 {text_cn} 计灵感：将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}","8a0032"
"技炫青春创意体科技蓝调","字体","艺术字","艺术字","矢量插画，标志，深蓝色背景，创意字体设计 Logo，线条流畅且富有艺术感，加入一些科技元素，中文 {text_cn} ，将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}","8a0033"
"加油努力花体童趣多色","字体","艺术字","艺术字","花体字体设计 {text_cn}，采用活泼、圆润的卡通手写字体风格，笔画带有流畅的曲线和俏皮的装饰，加入动漫笔画中的高光线，起笔和收笔有明显的变形，颜色鲜艳，黑底，多色变化，富有童趣。","{text_cn}","8a0034"
"坚持不懈立体烫金体红底鎏金","字体","艺术字","风格","烫金字，以正面视角呈现的立体特效文字 {text_cn}，具有极为强烈立体特效的 3D 字设计。烫金字，表面带有金色的光泽，反射光柔和，呈现出奢华与高贵的特质。厚度感明显，边缘清晰，光影效果自然。红色背景，背景极简，空间感强，采用 16K 分辨率，最佳品质，突出烫金的奢华与高贵。","{text_cn}","8a0035"
"江山书法立体体山水融字","字体","艺术字","风格","纯白背景，大面积留白，一个 {text_cn} 字，苍劲有力的毛笔书法风格，真实笔触质感，立体的山水花草完美结合字体笔划走势完全填满，3d 渲染，印章：江山如此多娇。","{text_cn}","8a0036"
"金碧辉煌标题字","字体","艺术字","艺术字","以黑色为背景，点缀闪烁的星星，用金色立体发光字体呈现文字 {text_cn}，整体风格炫酷且富有科技感，营造出闪耀的视觉效果。","{text_cn}","8a0037"
"金色年华紧凑体金辉连韵","字体","艺术字","艺术字","创意字体设计 Logo：中文 {text_cn} 。线条流畅、舒展且具有艺术感，将字体进行抽象变形，似是而非，相邻两个字上一字的末笔是下一字的首笔，相邻字的笔划可以共享借代。使几个文字成为一个紧凑的整体，字与字之间有相互联系的笔划。高级感，扁平化，黑色高端大气背景。","{text_cn}","8a0038"
"卡通体流心奶油","字体","艺术字","艺术字","""""{text_cn}"""" 五个字以 3d 卡通风格呈现，笔画圆滑，连笔，设计成白色液态流动效果，笔画如融化的奶油般自然滴落，边缘呈现不规则的柔滑质感，仿佛随时会向下滴落。纯黑背景强化对比，突显字体的流动感与立体感，整体画面简洁且富有动态张力，细节丰富，。","{text_cn}","8a0039"
"卡通艺术体圆润甜美","字体","艺术字","艺术字","字体设计 {text_cn}，风格圆润线条流畅，卡通唯美有艺术感，笔画巧妙变形设计，黑色干净的背景。","{text_cn}","8a0040"
"快乐花体童趣多色","字体","艺术字","艺术字","花体字体设计 {text_cn}，采用活泼、圆润的卡通手写字体风格，笔画带有流畅的曲线和俏皮的装饰，加入动漫笔画中的高光线，起笔和收笔有明显的变形，黑底，多色变化，富有童趣。","{text_cn}","8a0041"
"狂欢暑假涂鸦体街头跳跃","字体","艺术字","艺术字","标题字体设计，文字 {text_cn} 极具个性和街头感的涂鸦字体，充满力度与不规则感流动的、跳跃的效果，白色字体，纯黑色背景。","{text_cn}","8a0042"
"乐享生活缠绕体缎带飘逸","字体","艺术字","风格","一组用红色袖带缠绕而成的中文字 {text_cn}，每个字都由缎带巧妙地弯曲和缠绕构成，字体飘逸秀丽，线条丝谱流畅，增强了立体感和视觉冲击力。整体风格简约而现代，光线均匀分布，营造出一种干净、清晰的氛围。文字的排布方式富有设计感，缎带的纹理和光泽在纯色背景的衬托下更加突出。","{text_cn}","8a0043"
"立体体机械狂草","字体","艺术字","风格","粗大的书法狂草 3D 立体机械文字 {text_cn} 二字，竖排，笔画硬朗，大气磅礴，笔划透明般的描边，文字表面干净无暇，oc 渲染，陶瓷质感，靛蓝弧线，闪光，精致的金色机械金属饰品，精致虚拟科技感镶边渐变，简洁的靛蓝瓷质感，金属流体，细腻高光，高冷，纯色背景，极简，玻璃质感，金属质感，氛围感，光感，靛蓝系反光光感，真实。","{text_cn}","8a0044"
"六一相连体彩缀童乐","字体","艺术字","艺术字","矢量插画，标志，黑色背景，白色字，创意字体设计 Logo，流畅且富有艺术感，中文第一行 {text_cn}，中文第二行 { TEXT}，笔画之间合理相连，彩色点缀。设计灵感：将字体进行抽象变形，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}","8a0045"
"龙凤金属浮雕体图腾霓虹","字体","艺术字","材质","工业级超精细金属浮雕，神圣威严，大量留白，3D 立体文字。山海经图腾风格文字，字体结构为狂草变体，笔画内嵌龙鳞图案与兽纹旋形，模拟青铜器铭文质感。{text_cn} 金属的质感，锐化边缘、清晰所有轮廓，霓虹光晕渐变效果，液态金属滴，炫彩粒子堕落景泰蓝，渐变色背景，画面干净。大师作品。","{text_cn}","8a0046"
"玛瑙狂草立体体玛瑙蜡瀑","字体","艺术字","风格","海报狂草毛笔书法字 {text_cn}，竖排飘逸笔触，创意，3D 玛瑙立体字，字面颜色全部采用以玛瑙为主材镶茨，润泽，饱满，光滑，玉质感强，字体上布满滴蜡瀑布。双层立体，玛瑙镶茨。有一个红色小印章 专属。纯黑色背景。","{text_cn}","8a0047"
"每日签到双语体白底流畅","字体","艺术字","中英文","矢量插画，标志，纯白色背景，创意字体设计 Logo，线条流畅且富有艺术感，中文 {text_cn} ，小英文 {text_en}，设计灵感：将字体进行抽象变形，创造出独特的节奏和动感，给人以强烈的视觉冲击。高级感，扁平化，大师作品。","{text_cn}|{text_en}","8a0048"
"美丽佳人衬线体妖娆律动","字体","艺术字","艺术字","创意字体设计 Logo：黑底白字， {text_cn} 妖娆的字体线条，律动的格调线衬。","{text_cn}","8a0049"
"名字写实体沙滩手迹","字体","艺术字","艺术字","写实摄影，航拍，鸟瞰顶视图，沙滩上巨大显眼手写字 {text_cn} 有凹陷真实效果，笔画手写艺术处理，太阳伞，沙滩椅，椰子树，游泳圈，大海，。","{text_cn}","8a0050"
"茉香茶压花体茶香连笔","字体","艺术字","艺术字","创意字体设计 Logo：中文 {text_cn} 。线条流畅、舒展且具有艺术感，将字体进行抽象变形，似是而非，相邻两个字上一字的末笔是下一字的首笔，相邻字的笔划可以共享借代。使几个文字成为一个紧凑的整体，字与字之间有相互联系的笔划。高级感，扁平化，奇才设计，根据文字含义在纸上压花。深绿色背景。下方中部小字 茉香茶绿色食品。","{text_cn}","8a0051"
"木板搭字艺术体木拼苔生","字体","艺术字","艺术字","木材拼接字型 {text_cn}，橡木纹理，每个笔划独立原木拼接，转折处嵌入黄铜铆钉或细麻绳，木缝间生长青苔与蕨类植物，高饱和度，纯黑色背景。","{text_cn}","8a0052"
